Date/Time,DistrictCooling:HVAC [J](Hourly),DistrictHeating:HVAC [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/09  18:00:00,0.0,1108666.803460355,1332530.907142857,0.0,1332000.0 
 01/09  19:00:00,0.0,1443668.5389444754,1332530.907142857,0.0,1332000.0 
 01/09  20:00:00,0.0,1829690.9387458672,1332530.907142857,0.0,1332000.0 
 01/09  21:00:00,0.0,2117229.5977091505,1332530.907142857,0.0,1332000.0 
 01/09  22:00:00,0.0,2429520.0410956633,1332530.907142857,0.0,1332000.0 
 01/09  23:00:00,0.0,2591487.3879977185,1332530.907142857,0.0,1332000.0 
 01/09  24:00:00,0.0,2657713.4579824517,1332530.907142857,0.0,1332000.0 
 01/10  01:00:00,0.0,2733388.0102303084,1332530.907142857,0.0,1332000.0 
 01/10  02:00:00,0.0,2800823.0221187817,1332530.907142857,0.0,1332000.0 
 01/10  03:00:00,0.0,2796665.9329040493,1332530.907142857,0.0,1332000.0 
 01/10  04:00:00,0.0,2860914.632011255,1332530.907142857,0.0,1332000.0 
 01/10  05:00:00,0.0,3066081.8780254805,1332530.907142857,0.0,1332000.0 
 01/10  06:00:00,0.0,3101137.326657412,1332530.907142857,0.0,1332000.0 
 01/10  07:00:00,0.0,3129376.6860915464,1332530.907142857,0.0,1332000.0 
 01/10  08:00:00,0.0,3219970.7995653762,1332530.907142857,0.0,1332000.0 
 01/10  09:00:00,0.0,2968184.4201258915,1332530.907142857,0.0,1332000.0 
 01/10  10:00:00,0.0,2386808.3294679266,1332530.907142857,0.0,1332000.0 
 01/10  11:00:00,0.0,1571677.0858809613,1332530.907142857,0.0,1332000.0 
 01/10  12:00:00,0.0,935075.9117139922,1332530.907142857,0.0,1332000.0 
 01/10  13:00:00,0.0,788482.783209086,1332530.907142857,0.0,1332000.0 
 01/10  14:00:00,0.0,810162.6550657458,1332530.907142857,0.0,1332000.0 
 01/10  15:00:00,0.0,843887.7531403523,1332530.907142857,0.0,1332000.0 
 01/10  16:00:00,0.0,856293.1925592447,1332530.907142857,0.0,1332000.0 
 01/10  17:00:00,0.0,939975.1681313848,1332530.907142857,0.0,1332000.0 
 01/10  18:00:00,0.0,1025358.3636404322,1332530.907142857,0.0,1332000.0 
 01/10  19:00:00,0.0,1149135.2194545951,1332530.907142857,0.0,1332000.0 
 01/10  20:00:00,0.0,1426460.3913495797,1332530.907142857,0.0,1332000.0 
 01/10  21:00:00,0.0,1536795.1707038274,1332530.907142857,0.0,1332000.0 
 01/10  22:00:00,0.0,1585003.6828533597,1332530.907142857,0.0,1332000.0 
 01/10  23:00:00,0.0,1626505.098321054,1332530.907142857,0.0,1332000.0 
 01/10  24:00:00,0.0,1726604.1573773657,1332530.907142857,0.0,1332000.0 
 01/11  01:00:00,0.0,1785443.1569818151,1332530.907142857,0.0,1332000.0 
 01/11  02:00:00,0.0,1813569.4749094187,1332530.907142857,0.0,1332000.0 
 01/11  03:00:00,0.0,1969441.6930809137,1332530.907142857,0.0,1332000.0 
 01/11  04:00:00,0.0,2067880.455038175,1332530.907142857,0.0,1332000.0 
 01/11  05:00:00,0.0,2048566.9202827692,1332530.907142857,0.0,1332000.0 
 01/11  06:00:00,0.0,2138552.1088122283,1332530.907142857,0.0,1332000.0 
