Date/Time,DistrictCooling:HVAC [J](Hourly),DistrictHeating:HVAC [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/04  20:00:00,0.0,660020.7755310009,1332530.907142857,0.0,1332000.0 
 01/04  21:00:00,0.0,682866.2601343468,1332530.907142857,0.0,1332000.0 
 01/04  22:00:00,0.0,700237.7192621022,1332530.907142857,0.0,1332000.0 
 01/04  23:00:00,0.0,680166.7030222215,1332530.907142857,0.0,1332000.0 
 01/04  24:00:00,0.0,674292.8973953415,1332530.907142857,0.0,1332000.0 
 01/05  01:00:00,0.0,678669.3879686298,1332530.907142857,0.0,1332000.0 
 01/05  02:00:00,0.0,703505.634182862,1332530.907142857,0.0,1332000.0 
 01/05  03:00:00,0.0,715437.0384220434,1332530.907142857,0.0,1332000.0 
 01/05  04:00:00,0.0,758968.9870462464,1332530.907142857,0.0,1332000.0 
 01/05  05:00:00,0.0,827585.5022359475,1332530.907142857,0.0,1332000.0 
 01/05  06:00:00,0.0,846905.787853061,1332530.907142857,0.0,1332000.0 
 01/05  07:00:00,0.0,800227.2874486339,1332530.907142857,0.0,1332000.0 
 01/05  08:00:00,0.0,753273.3000572085,1332530.907142857,0.0,1332000.0 
 01/05  09:00:00,0.0,773042.6703007994,1332530.907142857,0.0,1332000.0 
 01/05  10:00:00,0.0,784141.248100196,1332530.907142857,0.0,1332000.0 
 01/05  11:00:00,0.0,786179.4408670806,1332530.907142857,0.0,1332000.0 
 01/05  12:00:00,0.0,813258.6583257635,1332530.907142857,0.0,1332000.0 
 01/05  13:00:00,0.0,820413.4688916537,1332530.907142857,0.0,1332000.0 
 01/05  14:00:00,0.0,831701.9682145112,1332530.907142857,0.0,1332000.0 
 01/05  15:00:00,0.0,835392.1755712709,1332530.907142857,0.0,1332000.0 
 01/05  16:00:00,0.0,839487.6784193246,1332530.907142857,0.0,1332000.0 
 01/05  17:00:00,0.0,864803.1713117936,1332530.907142857,0.0,1332000.0 
 01/05  18:00:00,0.0,900193.5354604437,1332530.907142857,0.0,1332000.0 
 01/05  19:00:00,0.0,908204.3806512293,1332530.907142857,0.0,1332000.0 
 01/05  20:00:00,0.0,927933.6203306456,1332530.907142857,0.0,1332000.0 
 01/05  21:00:00,0.0,944626.368274546,1332530.907142857,0.0,1332000.0 
 01/05  22:00:00,0.0,932011.5134594204,1332530.907142857,0.0,1332000.0 
 01/05  23:00:00,0.0,902173.9495171802,1332530.907142857,0.0,1332000.0 
