city,scenario,schedule_start,schedule_end,photoperiod,optimal_pv_area [m²],optimal_battery_capacity [kWh],capital_cost [$],annual_savings [$/year],payback_period [years],lcoe [$/kWh],grid_cost [$/year],pv_depreciation [$/year],battery_depreciation [$/year],annual_maintenance [$/year],annual_pv_generation [kWh/year],annual_pv_used [kWh/year],annual_grid_import [kWh/year],annual_grid_export [kWh/year],annual_battery_charge [kWh/year],annual_battery_discharge [kWh/year],tlps [%],tlps_max [%],is_feasible,is_optimal,constraint_violations
default_city,independent,0,0,0,65.0,0.0,1835.4960000000003,2013.7791159310436,0.9205830695800503,0.11962091907524965,2593.9852582173753,73.41984000000001,0.0,18.354960000000002,34827.03194161054,10068.895579655213,12969.926291086877,0.0,0.0,0.0,62.75114155251141,0,False,False,TLPS violation: 62.75%
default_city,independent,0,0,0,65.0,1.0,1925.4960000000003,1957.8661522711768,0.9933012824926962,0.12239247435082828,2649.898221877242,77.01984000000002,3.6,19.25496,34827.03194161054,9789.330761355877,13249.491109386212,0.0,589.0473933818092,0.0,61.906392694063925,0,False,False,Min SOC violation: 0.100; TLPS violation: 61.91%
default_city,independent,0,0,0,65.0,2.0,2015.4960000000003,1903.2745359722453,1.0695519335365529,0.12510667654783592,2704.4898381761736,80.61984000000001,7.2,20.154960000000003,34827.03194161054,9516.372679861222,13522.449190880867,0.0,1164.1669686675616,0.0,60.970319634703195,0,False,False,Min SOC violation: 0.100; TLPS violation: 60.97%
default_city,independent,0,0,0,65.0,3.0,2105.496,1849.4048953241577,1.1498568893034453,0.12778954139370233,2758.3594788242613,84.21984,10.8,21.05496,34827.03194161054,9247.024476620782,13791.797394121308,0.0,1731.6768238489612,0.0,59.942922374429216,0,False,False,Min SOC violation: 0.100; TLPS violation: 59.94%
default_city,independent,0,0,0,65.0,4.0,2195.496,1795.8772871033511,1.234745255660883,0.13045756032300235,2811.887087045068,87.81984,14.4,21.954960000000003,34827.03194161054,8979.386435516748,14059.435435225341,0.0,2295.5818502841535,0.0,58.675799086758,0,False,False,Min SOC violation: 0.100; TLPS violation: 58.68%
default_city,independent,0,0,0,65.0,5.0,2285.496,1742.8076443433633,1.3245012824520381,0.13310570126273383,2864.9567298050556,91.41984000000001,18.0,22.854960000000002,34827.03194161054,8714.038221716812,14324.783649025278,0.0,2854.66126226299,0.0,56.95205479452055,0,False,False,Min SOC violation: 0.100; TLPS violation: 56.95%
default_city,independent,0,0,0,65.0,6.0,2375.496,1690.0931160557793,1.4195969069439225,0.13573842845976633,2917.6712580926396,95.01984,21.6,23.754960000000004,34827.03194161054,8450.465580278893,14588.356290463196,0.0,3410.0001132596813,0.0,55.12557077625571,0,False,False,Min SOC violation: 0.100; TLPS violation: 55.13%
default_city,independent,0,0,0,65.0,7.0,2465.496,1638.091937660418,1.5201533581543192,0.13834019270668677,2969.672436488001,98.61984000000001,25.2,24.654960000000003,34827.03194161054,8190.459688302086,14848.362182440003,0.0,3957.8230517919365,0.0,53.641552511415526,0,False,False,Min SOC violation: 0.100; TLPS violation: 53.64%
default_city,independent,0,0,0,65.0,8.0,2555.496,1586.421017371997,1.6269646781884344,0.14092762210138282,3021.343356776422,102.21984,28.8,25.55496,34827.03194161054,7932.10508685998,15106.71678388211,0.0,4502.16607737959,0.0,52.87671232876713,0,False,False,Min SOC violation: 0.100; TLPS violation: 52.88%
default_city,independent,0,0,0,65.0,9.0,2645.496,1535.1689077590236,1.7404931447578653,0.14349687301986183,3072.5954663893954,105.81984,32.4,26.45496,34827.03194161054,7675.844538795112,15362.977331946977,0.0,5042.095419176773,0.0,51.82648401826484,0,False,False,Min SOC violation: 0.100; TLPS violation: 51.83%
