,thermal conductivity,thickness,annual_energy_kWh,normalized_energy
152,0.9,0.11,2897.0947424846063,0.9014983572220167
153,0.9,0.12,2871.6791319812637,0.8935896993584812
154,0.9,0.13,2848.655564429835,0.8864253812501951
155,0.9,0.14,2827.9773644729407,0.8799908787749804
156,0.9,0.15,2808.4704489520027,0.8739208486725086
157,0.9,0.16,2790.0769795357564,0.8681972932018517
158,0.9,0.17,2773.0305416723645,0.8628928979037
159,0.9,0.18,2757.1466426682305,0.8579502535888556
160,0.9,0.19,2741.6762685192557,0.8531362871429569
161,0.9,0.2,2727.4444840587585,0.848707736663288
162,1.0,0.03,3225.6606346264575,1.0
163,1.0,0.04,3176.6226463439525,0.984797536431422
164,1.0,0.05,3130.4616791924536,0.9704869897310111
165,1.0,0.06,3087.513394098758,0.9571724194899078
166,1.0,0.07,3048.014311358456,0.9449271503142569
167,1.0,0.08,3011.9954719880857,0.9337608053541829
168,1.0,0.09,2979.2111134787,0.9235971947878835
169,1.0,0.1,2949.39074106926,0.9143524614488187
170,1.0,0.11,2922.23000431331,0.905932252433528
171,1.0,0.12,2897.366961982929,0.8982243608892396
172,1.0,0.13,2874.64742814326,0.891180987015441
173,1.0,0.14,2853.057018422216,0.8844876574415615
174,1.0,0.15,2835.757356948853,0.8791245199534896
175,1.0,0.16,2816.902767585929,0.8732793330294449
176,1.0,0.17,2799.8984981254234,0.8680077712048779
177,1.0,0.18,2784.1036291481614,0.8631111404782265
178,1.0,0.19,2769.213095426253,0.8584948663537686
179,1.0,0.2,2755.347817909613,0.8541964360205212
180,1.1,0.03,3235.686559788683,1.0
181,1.1,0.04,3189.1782240163775,0.9856264397329811
182,1.1,0.05,3145.21045234345,0.9720380494916844
183,1.1,0.06,3104.112642382761,0.9593366307351738
184,1.1,0.07,3066.146198419541,0.9476029713520168
185,1.1,0.08,3031.3949817619186,0.9368629889663644
186,1.1,0.09,2999.643091082918,0.9270499585345557
187,1.1,0.1,2970.6473722020455,0.9180887324253229
188,1.1,0.11,2944.13158183459,0.9098939367065474
189,1.1,0.12,2919.8407202284725,0.9023867628325415
190,1.1,0.13,2897.3807672557077,0.8954454375348799
191,1.1,0.14,2876.9243353221727,0.8891233072680746
192,1.1,0.15,2858.078370725893,0.883298897440965
193,1.1,0.16,2840.536121849507,0.8778774054168638
